Date,Equity
2007-09-21,100000.0
2007-09-28,103799.45014293496
2007-10-05,107199.9319289954
2007-10-12,112210.73103454399
2007-10-19,107808.70513485909
2007-10-26,117875.78495134192
2007-11-02,122632.32714617964
2007-11-09,117802.40473137893
2007-11-16,122104.17124662195
2007-11-23,115938.86004484368
2007-11-30,119125.38852656352
2007-12-07,123498.46608087647
2007-12-14,125015.77119583107
2007-12-21,119202.9071083126
2007-12-28,125677.2630934234
2008-01-04,129699.95262080431
2008-01-11,128166.12433940137
2008-01-18,117937.79981674122
2008-01-25,111282.57723444788
2008-02-01,109916.18101477071
2008-02-08,105845.94070111115
2008-02-15,109619.54122323109
2008-02-22,105647.4911131204
2008-02-29,107978.21647104327
2008-03-07,98636.71259844505
2008-03-14,98103.37869987206
2008-03-21,94550.96856843567
2008-03-28,102159.15493441097
2008-04-04,96061.02650348195
2008-04-11,98764.87059746432
2008-04-18,102498.16751321395
2008-04-25,105667.13319125625
2008-05-02,108075.3771309282
2008-05-09,102998.42479819423
2008-05-16,106618.02779404516
2008-05-23,102253.20677617371
2008-05-30,100672.8673457213
2008-06-06,95664.1273275004
2008-06-13,93375.78485040623
2008-06-20,89870.90531811783
2008-06-27,85511.26229926164
2008-07-04,83017.23314783373
2008-07-11,83699.39666722578
2008-07-18,84593.44431006537
2008-07-25,89132.9344760056
2008-08-01,91235.23235690192
2008-08-08,93632.11094201014
2008-08-15,91589.75874562004
2008-08-22,89455.41379479488
2008-08-29,90128.2710469509
2008-09-05,89969.09552166663
2008-09-12,87408.92323661869
2008-09-19,87756.20244542853
2008-09-26,82381.58077749108
2008-10-03,78930.45452737778
2008-10-10,67801.88491276426
2008-10-17,63551.80249880332
2008-10-24,53415.47073057824
2008-10-31,59650.03388409873
2008-11-07,61456.731610684634
2008-11-14,58094.49434366683
2008-11-21,55677.97872720536
2008-11-28,56952.38723923012
2008-12-05,56111.04819455378
2008-12-12,60389.044363440116
2008-12-19,63616.91608875948
2008-12-26,59063.99138736248
2009-01-02,62981.26371841688
2009-01-09,59389.56943070869
2009-01-16,58468.64767017287
2009-01-23,55369.97358110201
2009-01-30,59426.77935930478
2009-02-06,58771.489957608945
2009-02-13,60947.17815203362
2009-02-20,56566.85846459502
2009-02-27,57129.12556819193
2009-03-06,54162.74783992646
2009-03-13,56211.307578995686
2009-03-20,58026.27698237109
2009-03-27,64260.83508910893
2009-04-03,66377.61218947389
2009-04-10,69085.59464524237
2009-04-17,69961.03480039258
2009-04-24,71952.74757951245
2009-05-01,71812.17954191755
2009-05-08,74845.74004103223
2009-05-15,75898.95816237343
2009-05-22,87616.6689982801
2009-05-29,91967.01584346559
2009-06-05,94818.6600146032
2009-06-12,94746.30933830404
2009-06-19,89169.1098141551
2009-06-26,90448.68118484714
2009-07-03,91456.42274758541
2009-07-10,82767.1045053435
2009-07-17,90437.31583028342
2009-07-24,94439.33373586457
2009-07-31,95842.94493092051
2009-08-07,92637.80391472862
2009-08-14,94677.0573865618
2009-08-21,93617.63676932413
2009-08-28,97825.35144280436
2009-09-04,96751.45665288072
2009-09-11,99834.62702560176
2009-09-18,102863.01961926649
2009-09-25,102509.54296134287
2009-10-02,105082.12023818374
2009-10-09,102225.30816159619
2009-10-16,106296.57801891961
2009-10-23,103297.12367706145
2009-10-30,97398.48447135238
2009-11-06,99144.19687620286
2009-11-13,103336.40783333327
2009-11-20,104442.33959962039
2009-11-27,102153.9870289609
2009-12-04,105609.24659407762
2009-12-11,105782.88619848253
2009-12-18,103103.85208808599
2009-12-25,107045.9243091609
2010-01-01,107514.1345242124
2010-01-08,108417.488434288
2010-01-15,108571.49605412233
2010-01-22,104102.28738358822
2010-01-29,100919.88717008913
2010-02-05,97542.14618672151
2010-02-12,99778.81970288162
2010-02-19,100151.93843894113
2010-02-26,101751.91994752943
2010-03-05,105191.68588986165
2010-03-12,106190.12118536388
2010-03-19,108790.6071703475
2010-03-26,109187.50634632901
2010-04-02,109363.21513162697
2010-04-09,110836.06818485983
2010-04-16,108786.47890212676
2010-04-23,109644.35120681678
2010-04-30,109104.81985912999
2010-05-07,103731.22773485641
2010-05-14,105290.9056370744
2010-05-21,101934.8658191704
2010-05-28,104733.80139214474
2010-06-04,106159.11375266429
2010-06-11,105825.26907931124
2010-06-18,108786.47890212678
2010-06-25,108919.80480659602
2010-07-02,108259.35254623291
2010-07-09,110643.82613954821
2010-07-16,111500.65880700904
2010-07-23,112641.7363677819
2010-07-30,110956.99919110151
2010-08-06,112438.1188743412
2010-08-13,112703.75123318117
2010-08-20,114327.50308812613
2010-08-27,111806.60486578468
2010-09-03,113268.08247088849
2010-09-10,116588.97649430676
2010-09-17,121651.46474792011
2010-09-24,124408.01744006576
2010-10-01,126994.03934592872
2010-10-08,126168.21411116752
2010-10-15,125324.80588559814
2010-10-22,125395.08738100424
2010-10-29,124395.62254183814
2010-11-05,129854.98978430232
2010-11-12,125510.85048179596
2010-11-19,121762.04984969654
2010-11-26,118902.13904855211
2010-12-03,123880.8910841719
2010-12-10,121080.92596753371
2010-12-17,122970.31018131865
2010-12-24,124269.5236301466
2010-12-31,126810.06393062398
2011-01-07,122057.66009757236
2011-01-14,116888.71501040332
2011-01-21,117755.89358232936
2011-01-28,113945.07808483066
2011-02-04,111538.90332605172
2011-02-11,109766.31175672235
2011-02-18,112845.35386122263
2011-02-25,109632.97575868775
2011-03-04,114494.9452434173
2011-03-11,112566.28696692588
2011-03-18,111083.09810279313
2011-03-25,116882.51756128951
2011-04-01,120433.89814906202
2011-04-08,120763.61455419433
2011-04-15,120402.89071636241
2011-04-22,121646.2968424702
2011-04-29,118851.48953771658
2011-05-06,114757.47887770036
2011-05-13,114618.97497421585
2011-05-20,113411.75427982297
2011-05-27,113199.87015637544
2011-06-03,114040.1695638226
2011-06-10,113400.37883169392
2011-06-17,110932.18920751571
2011-06-24,113099.61077193354
2011-07-01,116323.35422903213
2011-07-08,117014.8139220949
2011-07-15,115370.39044535016
2011-07-22,116462.88767618051
2011-07-29,113321.83070628095
2011-08-05,107724.98910399608
2011-08-12,104866.10784651549
2011-08-19,100167.44215529099
2011-08-26,98144.72194347146
2011-09-02,104184.97387078729
2011-09-09,104587.04095221874
2011-09-16,105099.69313542664
2011-09-23,100624.28701577873
2011-09-30,102184.99446166056
2011-10-07,101043.91690088772
2011-10-14,106092.96052547893
2011-10-21,104390.66054512103
2011-10-28,110814.36701939625
2011-11-04,109232.98795171466
2011-11-11,106848.51435839935
2011-11-18,101410.83818783345
2011-11-25,97364.36822053055
2011-12-02,104394.78881334179
2011-12-09,100602.58585031512
2011-12-16,96156.1179824738
2011-12-23,97446.02516406574
2011-12-30,95591.77665120119
2012-01-06,98274.95921694917
2012-01-13,100588.11167762917
2012-01-20,104362.75183697832
2012-01-27,107589.59401863381
2012-02-03,110093.95898096159
2012-02-10,111246.40189629818
2012-02-17,115023.101142975
2012-02-24,112232.43220000749
2012-03-02,110786.4583112535
2012-03-09,110253.12441268051
2012-03-16,109929.61555022736
2012-03-23,109108.9582209161
2012-03-30,109467.60278428966
2012-04-06,110032.97365922615
2012-04-13,107646.44097858314
2012-04-20,109370.45221797
2012-04-27,107298.1221325441
2012-05-04,105153.44137081906
2012-05-11,101888.35467012091
2012-05-18,101114.20848985913
2012-05-25,101712.64588482297
2012-06-01,100083.72612442807
2012-06-08,104771.01636752351
2012-06-15,106232.49397262729
2012-06-22,106377.19532522558
2012-06-29,109123.42230003669
2012-07-06,109909.98356565673
2012-07-13,108055.73505279218
2012-07-20,107597.86064864056
2012-07-27,105422.17245421588
2012-08-03,107816.98185843107
2012-08-10,109981.29460472667
2012-08-17,110930.12002662256
2012-08-24,111351.82918618993
2012-08-31,108701.72323403464
2012-09-07,110429.8728352076
2012-09-14,115299.06931271478
2012-09-21,117645.29838698747
2012-09-28,117896.45657314148
2012-10-05,118798.78093955325
2012-10-12,117333.15487909803
2012-10-19,117502.66621528218
2012-10-26,117937.799816741
2012-11-02,117780.7035659151
2012-11-09,117544.00945888173
2012-11-16,115224.64945552258
2012-11-23,116310.94923723913
2012-11-30,121546.0374580282
2012-12-07,122115.53660118542
2012-12-14,121540.86955257824
2012-12-21,120881.44683587897
2012-12-28,122135.17867932134
2013-01-04,124363.57547190927
2013-01-11,123023.0187794818
2013-01-18,125360.98122374766
2013-01-25,125572.86534719518
2013-02-01,124006.98999586342
2013-02-08,122034.91929487944
2013-02-15,121702.10416519025
2013-02-22,120935.18497770613
2013-03-01,118235.4792455098
2013-03-08,122907.26577225544
2013-03-15,121396.16819997996
2013-03-22,116822.5718767832
2013-03-29,117467.52042079649
2013-04-05,114794.68375951373
2013-04-12,114284.09066363357
2013-04-19,119546.0580489015
2013-04-26,121372.3978536233
2013-05-03,122872.11997776972
2013-05-10,125988.36696408344
2013-05-17,127901.52152422504
2013-05-24,123689.67858252408
2013-05-31,123739.29854969577
2013-06-07,121569.8078043849
2013-06-14,120069.0460430093
2013-06-21,117159.51527469317
2013-06-28,120767.75291598037
2013-07-05,121299.007540095
2013-07-12,124215.7753947541
2013-07-19,124633.34619253539
2013-07-26,121677.30427516978
2013-08-02,117371.39939814073
2013-08-09,115051.00985111773
2013-08-16,113856.19414851778
2013-08-23,113109.94658283339
2013-08-30,113110.97612649725
2013-09-06,117423.07845264013
2013-09-13,120941.3925203853
2013-09-20,124279.85944104643
2013-09-27,120581.70831978254
2013-10-04,122113.46742029245
2013-10-11,126018.34485311927
2013-10-18,127943.90440505379
2013-10-25,127025.04677862836
2013-11-01,130380.0570528685
2013-11-08,126939.26156687243
2013-11-15,125190.44034389973
2013-11-22,123935.67895679353
2013-11-29,127670.00541620699
2013-12-06,129402.2832856007
2013-12-13,127510.8298909227
2013-12-20,129698.92307714028
2013-12-27,130516.48168189463
2014-01-03,128394.54172286237
2014-01-10,127573.88439355112
2014-01-17,129438.45862375021
2014-01-24,129543.88591364205
2014-01-31,125879.84094963472
2014-02-07,125336.18133372717
2014-02-14,125029.20573128769
2014-02-21,127243.13844475496
2014-02-28,129754.74049342575
2014-03-07,134916.4384006865
2014-03-14,134452.3665474211
2014-03-21,134224.97870762373
2014-03-28,138415.11039029574
2014-04-04,138383.07341393226
2014-04-11,140077.10676428335
2014-04-18,140141.19081057567
2014-04-25,140210.44276231795
2014-05-02,138392.369587603
2014-05-09,141782.51556276352
2014-05-16,148897.69182366683
2014-05-23,152289.9069797204
2014-05-30,149454.79606859645
2014-06-06,156761.17473758222
2014-06-13,155907.4407946783
2014-06-20,155273.85760522872
2014-06-27,155219.0697326071
2014-07-04,160238.1455617279
2014-07-11,154202.03199619814
2014-07-18,158425.24029246284
2014-07-25,161041.24008736163
2014-08-01,157158.07391356377
2014-08-08,156454.19913514276
2014-08-15,161067.0796146113
2014-08-22,163578.68166328207
2014-08-29,164429.3168816291
2014-09-05,167168.30677009723
2014-09-12,167553.83049794968
2014-09-19,167883.54690308197
2014-09-26,164729.05539772563
2014-10-03,164247.40055365203
2014-10-10,162477.9178024449
2014-10-17,160819.02015301422
2014-10-24,165288.218729983
2014-10-31,172033.3749793837
2014-11-07,172339.310944594
2014-11-14,173432.84781265355
2014-11-21,175240.564989338
2014-11-28,177533.05592178358
2014-12-05,176500.50437545948
2014-12-12,170005.47676854895
2014-12-19,170028.22766480708
2014-12-26,169521.77293071296
2015-01-02,173547.5712762161
2015-01-09,171254.05080010666
2015-01-16,175994.04964136536
2015-01-23,182646.1734991018
2015-01-30,182094.25734675274
2015-02-06,179037.94595137992
2015-02-13,182023.9657577813
2015-02-20,182604.83025550228
2015-02-27,182832.2180952996
2015-03-06,184757.78774079948
2015-03-13,178763.01741886928
2015-03-20,177174.41135841
2015-03-27,172430.27415536522
2015-04-03,177491.71267818403
2015-04-10,181504.06639466505
2015-04-17,177899.97720872925
2015-04-24,171682.98695245164
2015-05-01,169124.8737547314
2015-05-08,169331.589972729
2015-05-15,170796.1663023897
2015-05-22,174860.2192605008
2015-05-29,174337.23126639304
2015-06-05,167744.01345593363
2015-06-12,165019.48764658617
2015-06-19,170023.0597593571
2015-06-26,173250.92139111113
2015-07-03,175396.6518836307
2015-07-10,172826.1236005522
2015-07-17,177979.5548778061
2015-07-24,176154.2547103135
2015-07-31,176387.8399992246
2015-08-07,177044.16399136695
2015-08-14,176092.23984491418
2015-08-21,171573.43139433904
2015-08-28,165413.28809801076
2015-09-04,158242.29442082194
2015-09-11,161017.45964743962
2015-09-18,164998.81602478636
2015-09-25,162654.6561314067
2015-10-02,164357.99574899382
2015-10-09,169294.38509091554
2015-10-16,170295.92920454
2015-10-23,171480.40909624012
2015-10-30,166733.1630750731
2015-11-06,164428.27724439994
2015-11-13,160458.2963151823
2015-11-20,162407.62621347347
2015-11-27,164188.494506375
2015-12-04,160864.49166483447
2015-12-11,157320.34816340494
2015-12-18,160452.0988660685
2015-12-25,162500.64851157236
2016-01-01,164263.94390723103
2016-01-08,157132.23438631406
2016-01-15,153751.3845848242
2016-01-22,153434.08326505017
2016-01-29,156350.84102614393
2016-02-05,154811.84483929104
2016-02-12,144307.56224045638
2016-02-19,149057.89689261495
2016-02-26,145316.3333468585
