Date,Equity
2007-12-14,94311.01051101039
2007-12-21,100257.05225102024
2007-12-28,104386.8530783611
2008-01-04,107736.28256063255
2008-01-11,99354.7992484081
2008-01-18,99480.77517331904
2008-01-25,95143.39200189356
2008-02-01,89940.47473179564
2008-02-08,95684.03452891922
2008-02-15,88594.98491098112
2008-02-22,88628.13751877043
2008-02-29,74140.96094347863
2008-03-07,69581.60677966442
2008-03-14,63222.22201844705
2008-03-21,70509.35096013779
2008-03-28,68647.61924031889
2008-04-04,69063.84245557152
2008-04-11,77723.35031348583
2008-04-18,75220.57082954087
2008-04-25,80509.62818831371
2008-05-02,78269.59148264509
2008-05-09,82209.74563401549
2008-05-16,79279.00728469923
2008-05-23,84660.15995939194
2008-05-30,82546.51735173303
2008-06-06,78057.41516074025
2008-06-13,75475.18417926018
2008-06-20,72277.18866183981
2008-06-27,72244.68417336314
2008-07-04,69331.99897477412
2008-07-11,64494.38059877751
2008-07-18,66037.39816018991
2008-07-25,69555.0115956991
2008-08-01,70720.6235223603
2008-08-08,70558.10548856086
2008-08-15,69149.615862299
2008-08-22,73052.41717693018
2008-08-29,75285.75683534509
2008-09-05,74155.01957634879
2008-09-12,75566.49164341037
2008-09-19,69778.73657543608
2008-09-26,69356.73121856262
2008-10-03,59116.66531180584
2008-10-10,62056.33433187272
2008-10-17,51598.98172963246
2008-10-24,54132.81431482709
2008-10-31,60380.28468755259
2008-11-07,56499.63234091224
2008-11-14,51487.05023343603
2008-11-21,51372.7161967687
2008-11-28,52161.05928787729
2008-12-05,55732.23987035765
2008-12-12,61584.6472439478
2008-12-19,57338.259259589366
2008-12-26,62194.611934887515
2009-01-02,58741.95083670748
2009-01-09,54845.731664582956
2009-01-16,48870.61351346222
2009-01-23,53352.847964581764
2009-01-30,51887.50287323847
2009-02-06,54661.36737282718
2009-02-13,47101.782549545795
2009-02-20,46598.967656249755
2009-02-27,46142.79135502027
2009-03-06,48607.25600678441
2009-03-13,49608.61861923937
2009-03-20,53133.412841984864
2009-03-27,55496.62752083059
2009-04-03,56881.84580139327
2009-04-10,56461.27567725814
2009-04-17,57225.535485111955
2009-04-24,59716.93083037517
2009-05-01,61456.16364063142
2009-05-08,64249.27954919888
2009-05-15,79380.72688517025
2009-05-22,83645.73944688894
2009-05-29,82901.7156577608
2009-06-05,79908.70911694261
2009-06-12,81493.20667168332
2009-06-19,83466.36309277036
2009-06-26,85357.15501283537
2009-07-03,73562.80855665638
2009-07-10,81069.28000788084
2009-07-17,87580.9087288551
2009-07-24,93039.67044546928
2009-07-31,91921.27761090337
2009-08-07,94369.72257049593
2009-08-14,93858.32627849003
2009-08-21,101443.22833474269
2009-08-28,101088.6932527932
2009-09-04,102829.1382005452
2009-09-11,106984.71700214909
2009-09-18,105406.50500811939
2009-09-25,111174.67706155212
2009-10-02,102596.00242710774
2009-10-09,106088.71645368887
2009-10-16,102321.43173599726
2009-10-23,93971.69879090837
2009-10-30,94330.92898176516
2009-11-06,99001.11841580941
2009-11-13,99686.66369455024
2009-11-20,96723.86965058936
2009-11-27,99967.80473521807
2009-12-04,98369.08961821737
2009-12-11,101251.0053423316
2009-12-18,103868.34410969302
2009-12-25,103667.00567387392
2010-01-01,99916.50638530488
2010-01-08,109012.13530128823
2010-01-15,104668.3301039783
2010-01-22,99671.5212773817
2010-01-29,97098.73395667065
2010-02-05,100563.27229007515
2010-02-12,101779.28928031192
2010-02-19,102745.866887936
2010-02-26,104108.87494292666
2010-03-05,106201.4879722062
2010-03-12,107334.94227807339
2010-03-19,107447.59129643787
2010-03-26,104515.09233317124
2010-04-02,103933.48602274501
2010-04-09,100674.96969763901
2010-04-16,105621.13168202707
2010-04-23,106235.16213592741
2010-04-30,99839.21390737501
2010-05-07,103207.51554361248
2010-05-14,98328.08663154356
2010-05-21,100232.06558653725
2010-05-28,101774.95650145339
2010-06-04,101729.74954854038
2010-06-11,103069.75048157322
2010-06-18,101722.74935541317
2010-06-25,100711.56830494964
2010-07-02,105406.9452540367
2010-07-09,108659.64311423466
2010-07-16,109532.63787034967
2010-07-23,110260.76049198165
2010-07-30,112676.82204046598
2010-08-06,116514.9427810225
2010-08-13,119731.29279385912
2010-08-20,116407.52058606567
2010-08-27,119269.56916196963
2010-09-03,124212.36774518953
2010-09-10,131346.05137293428
2010-09-17,133076.30428069446
2010-09-24,136257.92779329696
2010-10-01,135353.47042528228
2010-10-08,133975.88701028752
2010-10-15,134392.03277293468
2010-10-22,133805.51839745126
2010-10-29,143052.51673657654
2010-11-05,135178.75702602675
2010-11-12,130899.52389647224
2010-11-19,126622.99301212974
2010-11-26,131240.67259539326
2010-12-03,131478.9773112572
2010-12-10,138038.46929197677
2010-12-17,140753.57105293512
2010-12-24,143384.45586375424
2010-12-31,140373.627464653
2011-01-07,135289.880755705
2011-01-14,138765.81364084312
2011-01-21,135235.32806033682
2011-01-28,131125.82875083538
2011-02-04,128618.40481132234
2011-02-11,130769.81096350287
2011-02-18,127855.64840784745
2011-02-25,130358.28718717057
2011-03-04,128668.17234650064
2011-03-11,128368.09530227561
2011-03-18,136410.93452516245
2011-03-25,138850.50673086962
2011-04-01,139836.3939439242
2011-04-08,140583.90175928775
2011-04-15,142489.79049232157
2011-04-22,137566.33233705608
2011-04-29,132924.3117583456
2011-05-06,138049.98330531735
2011-05-13,137262.07608883144
2011-05-20,137872.018136956
2011-05-27,142059.09090261106
2011-06-03,141053.05091873062
2011-06-10,141713.22348846545
2011-06-17,142640.32979552977
2011-06-24,148008.53459486354
2011-07-01,148101.10507344495
2011-07-08,147796.13404938264
2011-07-15,150304.78701133246
2011-07-22,149769.47596978565
2011-07-29,143054.3672032893
2011-08-05,143077.33813658147
2011-08-12,142802.49981940034
2011-08-19,141965.80564819198
2011-08-26,145653.44631630756
2011-09-02,144365.3922264445
2011-09-09,143847.2918658512
2011-09-16,139829.57892808074
2011-09-23,142764.47654788007
2011-09-30,142032.5460901306
2011-10-07,145875.18099331536
2011-10-14,145825.8107704684
2011-10-21,157346.85368813187
2011-10-28,152518.44589369936
2011-11-04,151747.2662506998
2011-11-11,148031.5868839595
2011-11-18,142611.21674807798
2011-11-25,150616.9394617563
2011-12-02,150920.738958842
2011-12-09,150362.3378747668
2011-12-16,149035.23145664702
2011-12-23,151012.98504027238
2011-12-30,154508.49895484876
